DescripcionCIAN,ActividadBMXID,DescripcionBMX
EDIFICACION RESIDENCIAL,4111019110,CONSTRUCCION DE VIVIENDA DE INTERES SOCIAL
EDIFICACION RESIDENCIAL,4111019,CONSTRUCCION DE CASAS Y TECHOS DESARMABLES
EDIFICACION DE NAVES Y PLANTAS INDUSTRIALES,9919014160,INSTALACION Y CONSTRUCCION DE EDIFICIOS INDUSTRIALES
EDIFICACION DE NAVES Y PLANTAS INDUSTRIALES,4113015,CONSTRUCCION DE EDIFICIOS INDUSTRIALES Y PARA FINES ANALOGOS
"EDIFICACION DE INMUEBLES COMERCIALES, INSTITUCIONALES Y DE SERVICIOS",9411042,DEPARTAMENTO DEL DF
"EDIFICACION DE INMUEBLES COMERCIALES, INSTITUCIONALES Y DE SERVICIOS",8829014,ESTADIOS Y ARENAS
"EDIFICACION DE INMUEBLES COMERCIALES, INSTITUCIONALES Y DE SERVICIOS",6911045170,COMPRA VENTA DE CASAS Y OTROS INMUEBLES
"EDIFICACION DE INMUEBLES COMERCIALES, INSTITUCIONALES Y DE SERVICIOS",4212015,DEMOLICION DE INMUEBLES
"EDIFICACION DE INMUEBLES COMERCIALES, INSTITUCIONALES Y DE SERVICIOS",4111027,CONSTRUCCION DE INMUEBLES
"CONSTRUCCION DE OBRAS PARA EL TRATAMIENTO, DISTRIBUCION Y SUMINISTRO DE AGUA, DRENAJE Y RIEGO",,
CONSTRUCCION DE OBRAS PARA PETROLEO Y GAS,,
CONSTRUCCION DE OBRAS DE GENERACION Y CONDUCCION DE ENERGIA ELECTRICA Y TELECOMUNICACIONES,,
DIVISION DE TERRENOS Y CONSTRUCCION DE OBRAS DE URBANIZACION,8311011,ALQUILER DE TERRENOS LOCALES Y EDIFICIOS NO RESIDENCIALES
DIVISION DE TERRENOS Y CONSTRUCCION DE OBRAS DE URBANIZACION,6911053170,COMPRA VENTA DE TERRENOS
DIVISION DE TERRENOS Y CONSTRUCCION DE OBRAS DE URBANIZACION,6911053,COMPRAVENTA DE TERRENOS
DIVISION DE TERRENOS Y CONSTRUCCION DE OBRAS DE URBANIZACION,4121034,URBANIZACION
CONSTRUCCION DE VIAS DE COMUNICACION,4121026,PAVIMENTACION
CONSTRUCCION DE VIAS DE COMUNICACION,4121018,CONSTRUCCION DE VIAS DE COMUNICACION
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL U OBRA PESADA,4199015,CONSTRUCCION DE ESTADIOS MONUMENTOS Y OTRAS OBRAS DE INGENIERIA
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL U OBRA PESADA,4191011,CONSTRUCCION DE PRESAS
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL U OBRA PESADA,4129012100,CONSTRUCCION DE PISTAS DE ATERRIZAJE DUCTOS Y OTRAS OBRAS VINCULADASA LAS VIAS DE COMUNICACION
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL U OBRA PESADA,4122016,CONSTRUCCION DE PUERTOS
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL U OBRA PESADA,4112017,CONSTRUCCION DE EDIFICIOS PARA OFICINAS ESCUELAS HOSPITALES HOTELES Y OTROS NO RESIDENCIALES
TRABAJOS DE CIMENTACIONES,,
MONTAJE DE ESTRUCTURAS PREFABRICADAS,,
TRABAJOS DE ALBAÑILERIA,4211017,PREMEZCLADO Y COLADO DE CONCRETO
OTROS TRABAJOS EN EXTERIORES,,
INSTALACIONES ELECTRICAS EN CONSTRUCCIONES,4222014,INSTALACIONES DEL SISTEMA ELECTRICO INCLUYE SISTEMAS DE INTERCOMUNICACION
"INSTALACIONES HIDROSANITARIAS, DE GAS, AIRE ACONDICIONADO Y CALEFACCION",4229010,INSTALACIONES DE SISTEMAS DE AIRE ACONDICIONADO Y CALEFACCION Y OTRAS INSTALACIONES ANALOGAS
"INSTALACIONES HIDROSANITARIAS, DE GAS, AIRE ACONDICIONADO Y CALEFACCION",3697010,FABRICACION E INSTALACION DE EQUIPOS Y APARATOS DE AIRE ACONDICIONADO CALEFACCION Y REFRIGERACION
OTRAS INSTALACIONES Y EQUIPAMIENTO EN CONSTRUCCIONES,8427016251,INSTALACION
"COLOCACION DE MUROS FALSOS, AISLAMIENTO Y ENYESADO",,
TRABAJOS DE PINTURA Y OTROS CUBRIMIENTOS DE PAREDES,,
COLOCACION DE PISOS FLEXIBLES Y DE MADERA,,
COLOCACION DE PISOS CERAMICOS Y AZULEJOS,3319028,FABRICACION DE AZULEJOS
INSTALACION DE PRODUCTOS DE CARPINTERIA,4293015,COLOCACION DE DUELAS PARQUET LAMBRINES Y OTROS TRABAJOS DE CARPINTERIA
OTROS TRABAJOS DE ACABADOS EN EDIFICACIONES,4299013,OTROS SERVICIOS DE ACABADO PRESTADOS POR SUBCONTRATISTAS
PREPARACION DE TERRENOS PARA LA CONSTRUCCION,,
